"FACTOR_CD","COL_NM","DESCRIP","EXTEND_YN","CREATE_BY","CREATE_DTTM","MODIFY_BY","MODIFY_DTTM","ACTV_YN","DEL_YN","PLAN_SCOPE"
FACTOR01,FACTOR1,기온 변동 지수,N,admin,1970-01-01 00:00:00.000,manager2,2026-04-08 05:20:39.060,Y,N,DEFAULT
FACTOR02,FACTOR2,소비자 심리지수,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:48:22.350,Y,N,DEFAULT
FACTOR03,FACTOR3,할인율/증정 행사 ,N,admin,1970-01-01 00:00:00.000,manager1,2026-04-23 07:18:29.083,Y,N,DEFAULT
FACTOR04,FACTOR4,쿠폰 발행 및 사용 ,N,admin,1970-01-01 00:00:00.000,manager1,2026-04-23 07:18:29.090,Y,N,DEFAULT
FACTOR05,FACTOR5,매대 진열 위치 ,N,admin,1970-01-01 00:00:00.000,manager2,2026-04-08 05:07:48.177,N,N,DEFAULT
FACTOR06,FACTOR6,검색어/장바구니 클릭 데이터,N,admin,1970-01-01 00:00:00.000,manager2,2026-04-08 05:07:48.183,N,N,DEFAULT
FACTOR07,FACTOR7,인플루언서 언급/먹방 리뷰,N,admin,1970-01-01 00:00:00.000,manager2,2026-04-08 05:07:48.187,N,N,DEFAULT
FACTOR08,FACTOR8,경쟁사 가격 정보,N,admin,1970-01-01 00:00:00.000,manager2,2026-04-08 05:07:48.190,N,N,DEFAULT
FACTOR09,FACTOR9,곡물 원재료 시세,N,admin,1970-01-01 00:00:00.000,manager2,2026-04-08 05:07:48.193,N,N,DEFAULT
FACTOR10,FACTOR10,돈육 원재료 시세,N,admin,1970-01-01 00:00:00.000,manager2,2026-04-08 05:07:48.200,N,N,DEFAULT
FACTOR11,FACTOR11,가구원 수 변화,N,admin,1970-01-01 00:00:00.000,manager2,2026-04-08 05:07:48.203,N,N,DEFAULT
FACTOR12,FACTOR12,FACTOR12,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.393,N,N,DEFAULT
FACTOR13,FACTOR13,FACTOR13,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.400,N,N,DEFAULT
FACTOR14,FACTOR14,FACTOR14,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.407,N,N,DEFAULT
FACTOR15,FACTOR15,FACTOR15,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.410,N,N,DEFAULT
FACTOR16,FACTOR16,FACTOR16,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.417,N,N,DEFAULT
FACTOR17,FACTOR17,FACTOR17,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.420,N,N,DEFAULT
FACTOR18,FACTOR18,FACTOR18,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.427,N,N,DEFAULT
FACTOR19,FACTOR19,FACTOR19,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.430,N,N,DEFAULT
FACTOR20,FACTOR20,FACTOR20,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.437,N,N,DEFAULT
FACTOR21,FACTOR21,FACTOR21,N,admin,1970-01-01 00:00:00.000,rnd_bf,2025-11-24 01:52:12.067,N,N,DEFAULT
FACTOR22,FACTOR22,FACTOR22,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.443,N,N,DEFAULT
FACTOR23,FACTOR23,FACTOR23,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.447,N,N,DEFAULT
FACTOR24,FACTOR24,FACTOR24,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.453,N,N,DEFAULT
FACTOR29,FACTOR29,FACTOR29,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.460,N,N,DEFAULT
FACTOR30,FACTOR30,FACTOR30,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.467,N,N,DEFAULT
FACTOR31,FACTOR31,FACTOR31,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.470,N,N,DEFAULT
FACTOR32,FACTOR32,FACTOR32,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.477,N,N,DEFAULT
FACTOR33,FACTOR33,FACTOR33,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.480,N,N,DEFAULT
FACTOR34,FACTOR34,FACTOR34,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.487,N,N,DEFAULT
FACTOR35,FACTOR35,FACTOR35,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.490,N,N,DEFAULT
FACTOR36,FACTOR36,FACTOR36,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.497,N,N,DEFAULT
FACTOR37,FACTOR37,FACTOR37,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.503,N,N,DEFAULT
FACTOR38,FACTOR38,FACTOR38,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.510,N,N,DEFAULT
FACTOR39,FACTOR39,FACTOR39,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.517,N,N,DEFAULT
FACTOR40,FACTOR40,FACTOR40,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.520,N,N,DEFAULT
FACTOR41,FACTOR41,FACTOR41,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.527,N,N,DEFAULT
FACTOR42,FACTOR42,FACTOR42,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.530,N,N,DEFAULT
FACTOR43,FACTOR43,FACTOR43,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.540,N,N,DEFAULT
FACTOR44,FACTOR44,FACTOR44,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.543,N,N,DEFAULT
FACTOR45,FACTOR45,FACTOR45,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.550,N,N,DEFAULT
FACTOR46,FACTOR46,FACTOR46,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.557,N,N,DEFAULT
FACTOR47,FACTOR47,FACTOR47,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.563,N,N,DEFAULT
FACTOR48,FACTOR48,FACTOR48,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.570,N,N,DEFAULT
FACTOR49,FACTOR49,FACTOR49,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.580,N,N,DEFAULT
FACTOR50,FACTOR50,FACTOR50,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.583,N,N,DEFAULT
FACTORY,FACTORY,FACTORY,N,admin,1970-01-01 00:00:00.000,rnd_bf,2025-11-19 05:59:43.663,N,N,DEFAULT
SALES_FACTOR01,SALES_FACTOR1,수요계획 수량,N,admin,1970-01-01 00:00:00.000,manager1,2026-04-07 05:51:55.763,Y,N,DEFAULT
SALES_FACTOR02,SALES_FACTOR2,목표계획 수량,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.590,Y,N,DEFAULT
SALES_FACTOR03,SALES_FACTOR3,판매 단가,N,admin,1970-01-01 00:00:00.000,manager1,2026-04-23 07:18:22.140,Y,N,DEFAULT
SALES_FACTOR04,SALES_FACTOR4,예상 플렛폼 유입자(UV),N,admin,1970-01-01 00:00:00.000,manager1,2026-04-23 07:18:22.150,Y,N,DEFAULT
SALES_FACTOR05,SALES_FACTOR5,예상 반품/취소율,N,admin,1970-01-01 00:00:00.000,manager1,2026-04-23 07:18:22.153,Y,N,DEFAULT
SALES_FACTOR06,SALES_FACTOR6,채널별 수요 분산 비중,N,admin,1970-01-01 00:00:00.000,manager1,2026-04-23 07:18:22.157,Y,N,DEFAULT
SALES_FACTOR07,SALES_FACTOR7,수요 상한 필터,N,admin,1970-01-01 00:00:00.000,manager1,2026-04-23 07:18:22.160,Y,N,DEFAULT
SALES_FACTOR08,SALES_FACTOR8,이벤트 효과,N,admin,1970-01-01 00:00:00.000,manager1,2026-04-23 07:18:22.163,N,N,DEFAULT
SALES_FACTOR09,SALES_FACTOR9,SALES_FACTOR9,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.633,N,N,DEFAULT
SALES_FACTOR10,SALES_FACTOR10,SALES_FACTOR10,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.640,N,N,DEFAULT
SALES_FACTOR11,SALES_FACTOR11,SALES_FACTOR11,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.647,N,N,DEFAULT
SALES_FACTOR12,SALES_FACTOR12,SALES_FACTOR12,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.653,N,N,DEFAULT
SALES_FACTOR13,SALES_FACTOR13,SALES_FACTOR13,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.660,N,N,DEFAULT
SALES_FACTOR14,SALES_FACTOR14,SALES_FACTOR14,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.663,N,N,DEFAULT
SALES_FACTOR15,SALES_FACTOR15,SALES_FACTOR15,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.670,N,N,DEFAULT
SALES_FACTOR16,SALES_FACTOR16,SALES_FACTOR16,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.673,N,N,DEFAULT
SALES_FACTOR17,SALES_FACTOR17,SALES_FACTOR17,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.680,N,N,DEFAULT
SALES_FACTOR18,SALES_FACTOR18,SALES_FACTOR18,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.683,N,N,DEFAULT
SALES_FACTOR19,SALES_FACTOR19,SALES_FACTOR19,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.690,N,N,DEFAULT
SALES_FACTOR20,SALES_FACTOR20,SALES_FACTOR20,N,admin,1970-01-01 00:00:00.000,admin,2023-01-19 10:51:48.697,N,N,DEFAULT
Z_FACTOR,,Zionex trend factors,Y,admin,1970-01-01 00:00:00.000,admin,2022-01-05 18:07:16.997,Y,N,DEFAULT
